date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-04 17:51:00,22.63,29.877,509.44,895.97,0.001924,1
2015-02-04 17:52:00,22.62,29.538,546.4,915.01,0.001903,1
2015-02-04 17:53:00,20.19,27.678,137.32,609.57,0.00167,0
2015-02-04 17:54:00,22.48,28.614,529.72,858.7,0.001841,1
2015-02-04 17:55:00,22.0,30.382,588.06,860.45,0.001923,1
2015-02-04 17:56:00,19.45,27.065,124.77,535.6,0.001597,0
2015-02-04 17:57:00,22.48,29.492,532.42,851.12,0.001893,1
2015-02-04 17:58:00,22.54,29.87,533.8,870.07,0.001919,1
2015-02-04 17:59:00,22.85,28.857,529.8,860.47,0.001874,1
2015-02-04 18:00:00,22.98,29.099,481.21,783.24,0.001895,1
2015-02-04 18:01:00,22.99,29.498,521.85,879.31,0.001919,1
2015-02-04 18:02:00,19.89,28.971,102.74,508.62,0.001733,0
2015-02-04 18:03:00,22.32,29.565,510.44,919.49,0.00189,1
2015-02-04 18:04:00,20.42,28.282,106.82,515.19,0.001718,0
2015-02-04 18:05:00,23.34,30.062,525.75,831.08,0.001971,1
2015-02-04 18:06:00,22.98,29.601,552.08,865.97,0.001925,1
2015-02-04 18:07:00,22.85,28.854,548.21,801.81,0.001874,1
2015-02-04 18:08:00,22.33,29.981,530.85,832.62,0.001915,1
2015-02-04 18:09:00,19.96,26.574,47.15,537.24,0.001592,0
2015-02-04 18:10:00,22.75,30.278,587.68,866.34,0.001954,1
2015-02-04 18:11:00,22.09,29.507,520.03,907.29,0.001875,1
2015-02-04 18:12:00,22.4,27.939,522.17,806.16,0.001796,1
2015-02-04 18:13:00,20.25,27.209,83.01,506.51,0.001645,0
2015-02-04 18:14:00,20.85,27.756,77.91,498.36,0.001708,0
2015-02-04 18:15:00,22.37,29.265,579.04,908.45,0.001874,1
2015-02-04 18:16:00,21.64,29.789,573.51,898.55,0.001869,1
2015-02-04 18:17:00,22.68,28.928,540.55,897.48,0.00187,1
2015-02-04 18:18:00,22.26,28.676,521.24,928.95,0.001834,1
2015-02-04 18:19:00,22.52,29.355,546.67,862.12,0.001887,1
2015-02-04 18:20:00,22.48,29.411,527.58,921.73,0.001889,1
2015-02-04 18:21:00,22.42,29.202,518.34,838.45,0.001873,1
2015-02-04 18:22:00,20.6,28.068,106.83,477.17,0.001714,0
2015-02-04 18:23:00,21.99,28.925,509.56,901.35,0.001835,1
2015-02-04 18:24:00,22.35,29.564,533.83,822.33,0.001891,1
2015-02-04 18:25:00,22.77,29.429,532.15,895.05,0.001904,1
2015-02-04 18:26:00,22.32,28.535,546.1,878.55,0.001828,1
2015-02-04 18:27:00,21.98,28.665,503.33,912.51,0.001819,1
