DateTime,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),Temperature,Relative_Humidity,Absolute_Humidity,CO_GT,timestamp
2004-03-10 18:00:00,1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,2.6,2004-03-10 18:00:00
2004-03-10 19:00:00,1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,2.0,2004-03-10 19:00:00
2004-03-10 20:00:00,1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,2.2,2004-03-10 20:00:00
2004-03-10 21:00:00,1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,2.2,2004-03-10 21:00:00
2004-03-10 22:00:00,1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,1.6,2004-03-10 22:00:00
2004-03-10 23:00:00,1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,1.2,2004-03-10 23:00:00
2004-03-11 00:00:00,1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,1.2,2004-03-11 00:00:00
2004-03-11 01:00:00,1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,1.0,2004-03-11 01:00:00
2004-03-11 02:00:00,1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,0.9,2004-03-11 02:00:00
2004-03-11 03:00:00,1010.0,561.0,1705.0,1235.0,501.0,10.3,60.2,0.7517,0.6,2004-03-11 03:00:00
2004-03-11 04:00:00,1011.0,527.0,1818.0,1197.0,445.0,10.1,60.5,0.7465,1.8,2004-03-11 04:00:00
2004-03-11 05:00:00,1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,0.7,2004-03-11 05:00:00
2004-03-11 06:00:00,1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,0.7,2004-03-11 06:00:00
2004-03-11 07:00:00,1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,1.1,2004-03-11 07:00:00
2004-03-11 08:00:00,1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,2.0,2004-03-11 08:00:00
2004-03-11 09:00:00,1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,2.2,2004-03-11 09:00:00
2004-03-11 10:00:00,1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,1.7,2004-03-11 10:00:00
2004-03-11 11:00:00,1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,1.5,2004-03-11 11:00:00
2004-03-11 12:00:00,1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,1.6,2004-03-11 12:00:00
2004-03-11 13:00:00,1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,1.9,2004-03-11 13:00:00
2004-03-11 14:00:00,1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,2.9,2004-03-11 14:00:00
2004-03-11 15:00:00,1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,2.2,2004-03-11 15:00:00
2004-03-11 16:00:00,1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,2.2,2004-03-11 16:00:00
2004-03-11 17:00:00,1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,2.9,2004-03-11 17:00:00
2004-03-11 18:00:00,1581.0,1319.0,799.0,1716.0,1409.0,10.3,64.2,0.8065,4.8,2004-03-11 18:00:00
2004-03-11 19:00:00,1776.0,1488.0,702.0,1713.0,1704.0,9.7,69.3,0.8319,6.9,2004-03-11 19:00:00
2004-03-11 20:00:00,1640.0,1404.0,743.0,1710.0,1654.0,9.6,67.8,0.8133,6.1,2004-03-11 20:00:00
2004-03-11 21:00:00,1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7419,3.9,2004-03-11 21:00:00
2004-03-11 22:00:00,965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,1.5,2004-03-11 22:00:00
2004-03-11 23:00:00,913.0,629.0,1565.0,1252.0,552.0,8.2,60.8,0.6657,1.0,2004-03-11 23:00:00
2004-03-12 00:00:00,1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,1.7,2004-03-12 00:00:00
2004-03-12 01:00:00,1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6308,1.9,2004-03-12 01:00:00
2004-03-12 02:00:00,988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,1.4,2004-03-12 02:00:00
2004-03-12 03:00:00,889.0,574.0,1680.0,1187.0,512.0,7.0,62.3,0.6261,0.8,2004-03-12 03:00:00
