id,ph,TDS,water_level,DHT_temp,DHT_humidity,water_temp,pH_reducer,add_water,nutrients_adder,humidifier,ex_fan,isDefault,created_at,node_id,label
1,7.0,500.0,0.0,25.5,60.0,20.0,ON,,OFF,OFF,ON,0,2024-01-01 00:00:00,NODE_01,0
2,7.0,500.0,0.0,25.5,60.0,20.0,ON,,OFF,OFF,OFF,0,2024-01-01 01:00:00,NODE_01,0
3,7.0,500.0,3.0,25.5,60.0,20.0,ON,,OFF,OFF,OFF,0,2024-01-01 02:00:00,NODE_01,0
4,7.0,500.0,3.0,25.5,60.0,20.0,ON,,OFF,OFF,OFF,0,2024-01-01 03:00:00,NODE_01,0
5,7.0,500.0,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 04:00:00,NODE_01,0
6,7.0,500.0,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 05:00:00,NODE_01,0
7,5.67,500.0,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 06:00:00,NODE_01,0
8,5.71,500.0,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 07:00:00,NODE_01,0
9,5.66,500.0,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 08:00:00,NODE_01,0
10,5.71,500.0,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 09:00:00,NODE_01,0
11,5.61,582.63,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 10:00:00,NODE_01,0
12,5.58,575.38,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 11:00:00,NODE_01,0
13,5.57,575.63,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 12:00:00,NODE_01,0
14,5.63,552.88,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 13:00:00,NODE_01,0
15,5.64,552.63,3.0,25.5,60.0,20.0,ON,ON,OFF,OFF,OFF,0,2024-01-01 14:00:00,NODE_01,0
