date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11 17:00:00,93,14,19.914,47.394,19.452,46.295,19.769,47.761,20.296,46.107,20.581,46.79,20.233,46.035,19.921,46.151,20.47,45.525,20.602,47.092,-0.995,756.171,81.484,3.551,31.805,-4.698,13.10295,13.10295
2016-01-11 17:10:00,94,13,19.758,46.581,19.121,48.718,20.244,44.275,19.955,46.905,20.635,47.634,19.959,47.317,19.775,46.177,20.575,46.116,20.771,46.472,-1.352,755.991,78.543,3.768,34.834,-5.644,11.96364,11.96364
2016-01-11 17:20:00,87,15,19.913,47.013,19.571,46.714,20.226,46.654,20.048,46.923,20.72,45.603,20.034,47.143,19.961,46.505,20.641,46.073,20.871,45.814,-0.673,756.01,78.464,4.633,39.889,-4.98,3.57505,3.57505
2016-01-11 17:30:00,97,13,20.162,46.86,19.754,48.743,20.068,45.045,20.109,47.424,20.447,44.963,20.507,48.309,20.216,46.51,20.947,47.055,20.482,48.545,-0.862,754.998,82.027,3.891,41.347,-4.457,14.58981,14.58981
2016-01-11 17:40:00,91,22,20.05,47.04,19.044,48.22,19.91,47.265,20.119,46.282,20.543,46.349,20.455,47.71,19.876,47.086,20.773,47.703,20.66,47.4,-1.545,755.001,76.033,3.874,41.972,-6.338,24.84834,24.84834
2016-01-11 17:50:00,96,22,20.197,46.657,19.68,46.717,20.053,48.555,20.167,46.476,21.094,45.306,20.312,47.574,20.316,44.958,20.729,46.618,20.497,46.997,-0.098,755.738,78.693,4.849,33.974,-4.359,44.14124,44.14124
2016-01-11 18:00:00,94,24,20.023,47.662,19.938,47.146,19.914,47.677,20.087,48.078,20.804,47.705,20.442,46.235,20.112,45.054,20.998,46.916,21.221,46.207,-1.01,754.68,74.55,4.257,38.678,-6.1,12.05369,12.05369
2016-01-11 18:10:00,105,25,20.225,46.909,19.798,45.191,20.22,46.43,20.442,47.514,20.973,47.293,20.586,48.136,20.199,47.368,21.044,47.468,20.866,44.549,-0.765,755.02,76.492,4.399,36.039,-5.467,14.48865,14.48865
2016-01-11 18:20:00,117,26,20.085,48.102,19.754,46.883,20.419,48.349,19.95,45.752,21.048,47.343,20.648,45.695,20.401,45.536,20.836,47.175,20.651,47.629,-0.526,754.033,75.927,4.892,38.21,-5.341,6.45015,6.45015
2016-01-11 18:30:00,121,24,20.245,45.187,19.891,46.368,20.364,46.666,20.256,46.296,21.052,46.565,20.284,48.103,20.509,47.45,20.701,47.065,20.641,45.934,-0.556,755.139,72.555,4.966,39.014,-6.045,41.64191,41.64191
2016-01-11 18:40:00,123,24,20.508,45.572,19.548,47.248,20.196,45.998,20.306,49.353,20.805,46.752,20.857,46.161,20.431,46.119,20.903,48.053,20.559,47.544,-0.81,754.43,71.58,3.655,38.327,-6.494,7.7264,7.7264
2016-01-11 18:50:00,110,33,20.211,48.537,19.968,46.718,20.141,47.857,20.241,46.613,20.933,47.251,20.912,47.128,20.3,45.854,20.879,47.196,20.978,46.567,0.043,754.108,77.454,2.834,38.316,-4.466,29.52172,29.52172
2016-01-11 19:00:00,290,25,20.37,46.609,19.846,45.93,20.322,49.34,20.234,46.594,20.965,47.723,20.494,48.702,20.627,46.585,21.112,45.218,21.074,46.998,-0.576,756.389,74.228,3.702,35.051,-5.73,36.44811,36.44811
2016-01-11 19:10:00,239,25,20.318,47.622,19.636,45.218,20.713,47.67,20.346,47.624,21.171,46.065,20.898,44.911,20.61,46.154,21.255,46.038,20.759,46.397,-0.727,756.337,78.354,5.04,33.186,-5.056,41.40865,41.40865
2016-01-11 19:20:00,213,29,20.333,46.021,19.876,46.272,20.353,45.557,20.793,45.559,21.316,46.63,20.666,47.93,20.637,46.761,21.084,46.205,21.086,47.194,0.219,755.135,71.522,3.911,39.09,-5.477,15.52821,15.52821
2016-01-11 19:30:00,174,29,20.457,45.002,19.609,45.52,20.501,45.542,20.422,45.127,21.191,45.649,20.767,47.371,20.722,46.138,21.137,44.685,21.327,46.388,-0.064,757.123,75.469,3.414,42.427,-4.97,6.65802,6.65802
