date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-04 17:51:00,20.485,24.55,105.649,480.0,0.009662,0
2015-02-04 17:52:00,20.101,23.925,126.978,477.688,0.009195,0
2015-02-04 17:53:00,20.247,22.417,145.92,482.515,0.008694,0
2015-02-04 17:54:00,19.797,23.172,169.19,480.602,0.00874,0
2015-02-04 17:55:00,20.163,24.031,123.151,484.965,0.009271,0
2015-02-04 17:56:00,20.362,23.551,161.502,476.545,0.009199,0
2015-02-04 17:57:00,20.21,23.303,81.637,481.579,0.009017,0
2015-02-04 17:58:00,20.241,23.482,77.476,487.249,0.009104,0
2015-02-04 17:59:00,20.09,23.882,154.699,490.317,0.009173,0
2015-02-04 18:00:00,20.37,22.802,95.972,492.708,0.008911,0
2015-02-04 18:01:00,20.281,23.069,157.116,504.984,0.008966,0
2015-02-04 18:02:00,20.374,23.628,100.139,513.093,0.009236,0
2015-02-04 18:03:00,20.503,23.871,602.386,510.463,0.009405,1
2015-02-04 18:04:00,20.511,24.313,607.035,513.317,0.009584,1
2015-02-04 18:05:00,20.598,23.315,628.896,517.653,0.00924,1
2015-02-04 18:06:00,20.773,23.836,641.584,520.166,0.009549,1
2015-02-04 18:07:00,20.692,24.433,587.456,529.071,0.00974,1
2015-02-04 18:08:00,20.739,24.635,607.533,534.639,0.009848,1
2015-02-04 18:09:00,21.024,24.475,607.577,528.807,0.009958,1
2015-02-04 18:10:00,20.733,24.568,625.444,529.782,0.009818,1
2015-02-04 18:11:00,20.697,25.402,668.299,534.078,0.010129,1
2015-02-04 18:12:00,20.229,22.647,115.196,533.391,0.008773,0
2015-02-04 18:13:00,20.125,23.533,89.258,536.944,0.009058,0
2015-02-04 18:14:00,20.06,24.504,125.361,535.381,0.009394,0
2015-02-04 18:15:00,20.143,24.799,112.297,545.41,0.009556,0
2015-02-04 18:16:00,20.22,24.319,150.719,550.377,0.009416,0
2015-02-04 18:17:00,20.092,23.668,93.793,550.275,0.009092,0
2015-02-04 18:18:00,20.357,24.101,131.214,533.297,0.009411,0
2015-02-04 18:19:00,20.163,24.645,134.895,537.3,0.009508,0
2015-02-04 18:20:00,19.891,24.05,153.615,554.403,0.009124,0
2015-02-04 18:21:00,20.12,24.041,135.483,545.414,0.009251,0
2015-02-04 18:22:00,19.983,23.471,123.451,552.055,0.008955,0
2015-02-04 18:23:00,20.041,23.009,99.493,555.666,0.008811,0
2015-02-04 18:24:00,20.12,23.611,145.161,558.754,0.009085,0
2015-02-04 18:25:00,19.972,23.035,150.136,538.819,0.008783,0
2015-02-04 18:26:00,20.341,23.812,97.803,533.54,0.009288,0
2015-02-04 18:27:00,20.098,23.624,120.769,533.605,0.009078,0
2015-02-04 18:28:00,20.249,24.34,113.188,541.675,0.009441,0
2015-02-04 18:29:00,20.04,23.574,63.948,542.246,0.009027,0
2015-02-04 18:30:00,19.766,23.685,44.189,551.861,0.008916,0
2015-02-04 18:31:00,20.084,23.723,30.017,552.077,0.009108,0
2015-02-04 18:32:00,20.044,23.33,41.693,546.908,0.008935,0
2015-02-04 18:33:00,20.068,24.513,51.364,535.336,0.009402,0
2015-02-04 18:34:00,20.144,23.951,55.759,540.366,0.00923,0
2015-02-04 18:35:00,19.891,24.151,0.0,539.63,0.009162,0
2015-02-04 18:36:00,19.954,24.986,11.774,534.859,0.009516,0
2015-02-04 18:37:00,19.977,23.881,59.319,547.085,0.009108,0
2015-02-04 18:38:00,19.773,23.18,4.66,537.495,0.008729,0
2015-02-04 18:39:00,20.138,23.463,0.0,545.454,0.009038,0
2015-02-04 18:40:00,20.092,24.381,38.143,526.954,0.009365,0
2015-02-04 18:41:00,20.066,23.287,82.536,528.659,0.008931,0
2015-02-04 18:42:00,20.163,23.667,29.089,524.243,0.009131,0
2015-02-04 18:43:00,19.953,24.24,42.548,517.593,0.009232,0
2015-02-04 18:44:00,20.16,23.699,0.0,511.826,0.009142,0
2015-02-04 18:45:00,20.109,24.706,97.168,527.696,0.0095,0
2015-02-04 18:46:00,19.935,24.016,50.67,528.521,0.009136,0
2015-02-04 18:47:00,19.787,24.329,20.286,529.129,0.009171,0
2015-02-04 18:48:00,19.839,23.654,0.0,541.7,0.008945,0
2015-02-04 18:49:00,19.922,24.809,6.502,534.436,0.00943,0
2015-02-04 18:50:00,19.548,24.422,0.0,521.348,0.00907,0
2015-02-04 18:51:00,19.876,24.121,35.676,512.291,0.009143,0
2015-02-04 18:52:00,20.104,24.15,17.745,513.452,0.009283,0
2015-02-04 18:53:00,20.062,23.485,51.033,522.572,0.009004,0
2015-02-04 18:54:00,19.748,22.578,0.0,517.349,0.00849,0
2015-02-04 18:55:00,19.859,23.109,0.0,518.968,0.00875,0
2015-02-04 18:56:00,20.215,24.795,0.565,513.715,0.009597,0
2015-02-04 18:57:00,19.866,24.273,25.509,525.819,0.009194,0
2015-02-04 18:58:00,19.862,24.305,22.781,521.414,0.009204,0
2015-02-04 18:59:00,20.375,25.232,536.915,533.021,0.009863,1
2015-02-04 19:00:00,20.556,24.979,567.642,532.264,0.009874,1
2015-02-04 19:01:00,20.182,24.363,581.319,534.062,0.009411,1
2015-02-04 19:02:00,20.406,24.655,560.074,543.637,0.009656,1
2015-02-04 19:03:00,20.429,25.011,547.5,545.197,0.00981,1
2015-02-04 19:04:00,20.204,25.739,487.968,562.253,0.009956,1
2015-02-04 19:05:00,20.362,25.327,499.884,573.147,0.009892,1
2015-02-04 19:06:00,20.124,25.015,586.383,576.303,0.009628,1
2015-02-04 19:07:00,20.573,25.472,537.04,595.316,0.010079,1
2015-02-04 19:08:00,20.431,24.596,474.203,598.743,0.009648,1
2015-02-04 19:09:00,20.356,25.764,517.873,596.269,0.010059,1
2015-02-04 19:10:00,20.237,25.229,521.897,597.107,0.009779,1
2015-02-04 19:11:00,19.783,25.424,20.111,591.026,0.009581,0
2015-02-04 19:12:00,19.842,24.499,42.297,589.815,0.009266,0
2015-02-04 19:13:00,19.737,25.074,0.0,581.111,0.009422,0
2015-02-04 19:14:00,19.826,24.38,16.504,582.608,0.009212,0
2015-02-04 19:15:00,19.587,24.534,65.845,582.799,0.009134,0
2015-02-04 19:16:00,19.697,24.502,0.0,575.385,0.009184,0
2015-02-04 19:17:00,19.837,25.199,0.0,565.891,0.009528,0
2015-02-04 19:18:00,19.858,25.332,20.694,572.246,0.00959,0
2015-02-04 19:19:00,19.98,24.301,18.968,581.12,0.00927,0
2015-02-04 19:20:00,19.933,23.835,51.449,580.052,0.009066,0
2015-02-04 19:21:00,19.49,24.291,0.0,574.137,0.008989,0
2015-02-04 19:22:00,19.667,23.71,49.224,583.055,0.008871,0
2015-02-04 19:23:00,19.556,23.48,0.0,587.395,0.008724,0
2015-02-04 19:24:00,19.774,24.429,28.956,583.473,0.009201,0
2015-02-04 19:25:00,20.405,24.723,510.382,587.667,0.009682,1
2015-02-04 19:26:00,20.278,25.254,523.96,584.205,0.009813,1
2015-02-04 19:27:00,19.981,25.555,525.148,580.948,0.009749,1
2015-02-04 19:28:00,20.497,25.983,489.942,596.139,0.010234,1
2015-02-04 19:29:00,20.438,24.816,512.411,601.093,0.009739,1
2015-02-04 19:30:00,20.322,25.849,528.538,614.253,0.010071,1
2015-02-04 19:31:00,19.95,25.64,65.546,599.966,0.009763,0
2015-02-04 19:32:00,19.655,24.832,0.0,588.493,0.009283,0
2015-02-04 19:33:00,19.412,24.732,0.0,585.993,0.009108,0
2015-02-04 19:34:00,19.923,24.036,52.365,577.069,0.009137,0
2015-02-04 19:35:00,19.818,24.706,21.41,581.561,0.009331,0
2015-02-04 19:36:00,19.649,25.195,5.997,575.297,0.009416,0
