feature,importance
Appliances,0.28171666637271237
Appliances_current,0.2509925330448224
lights,0.08616341909529694
sin_hour,0.046278183963520576
hour,0.040044043064427236
Appliances_rolling_std_12,0.0310767878449057
cos_hour,0.026118939675327853
RH_7,0.023802759750239252
day_of_week,0.017717161479891445
Appliances_rolling_std_3,0.013072090417020824
RH_6,0.012671594922244017
Appliances_rolling_std_6,0.010558875016058298
RH_4,0.010037447463555576
T7,0.009418249584493079
Appliances_lag_12,0.009154368431270501
Appliances_lag_1,0.008638598758728364
Appliances_rolling_min_3,0.008371632132512375
RH_8,0.008360426168276716
Appliances_rolling_max_12,0.007929731043034387
T8,0.0074550098346096326
Tdewpoint,0.007232912176605418
Appliances_lag_3,0.00658109974752362
T4,0.006190676474258887
Appliances_rolling_min_12,0.005455233626576335
T6,0.004972982143256899
RH_3,0.004942544208538145
T9,0.004685058967996944
RH_9,0.004383494883138709
Appliances_rolling_max_3,0.0038948724283298835
Windspeed,0.003892253721425182
T_out,0.0038898749715581423
RH_1,0.0034971840663931618
Appliances_rolling_mean_6,0.0033394357786592026
T2,0.0032511409487733446
Appliances_lag_2,0.00282236831828259
Appliances_lag_6,0.0027862179370393156
RH_2,0.0024240365173197995
Appliances_delta_1,0.0022658876350956595
rv2,0.0021647339015431486
T3,0.0021171826116027654
T1,0.001983974309040389
RH_out,0.0015457393399326768
Appliances_rolling_min_6,0.0014366252855732074
Press_mm_hg,0.0009844611647743158
Appliances_rolling_mean_3,0.00078530238783149
RH_5,0.0007084500707137079
rv1,0.0006064048199174907
Appliances_rolling_mean_12,0.0006046775082513362
T5,0.0005109828549882783
Appliances_rolling_max_6,0.0003662682096691683
Visibility,9.940492244336891e-05
is_weekend,0.0
