feature,importance
Light,39.6529345386489
CO2,26.209022326318223
CO2_current,26.2090223263163
CO2_lag_1,26.03508701634314
CO2_rolling_max_15,25.103339126650226
CO2_rolling_max_5,24.320315539730775
CO2_rolling_min_5,22.01359474351279
CO2_rolling_min_30,21.79165996247367
CO2_rolling_max_30,20.236498346899875
Occupancy,19.491810852702958
CO2_lag_15,14.663484420773809
cos_hour,13.574240621634438
CO2_lag_5,12.333285650903255
sin_hour,9.802598561747038
CO2_rolling_min_15,9.633807745240649
CO2_lag_10,7.886722874416265
Humidity,7.864943450069836
hour,7.746305872511381
day_of_week,7.478365933781735
CO2_lag_30,6.933214383148815
HumidityRatio,6.863600326118572
CO2_rolling_mean_30,6.613854889890882
CO2_rolling_mean_15,4.955058837426203
Temperature,4.102707130361903
CO2_rolling_mean_5,2.6702396528564414
CO2_delta_1,2.6485292812878716
CO2_rolling_std_5,2.433269454632785
CO2_rolling_std_30,1.82925494699092
CO2_rolling_std_15,1.1816328693608147
is_weekend,0.0
