detection_id,image_id,timestamp,detection_type,confidence,classification,bbox_info,image_path
ai_32beaf0f,ai_7df3a8aae4,2026-06-10T10:21:47,motion_unknown,0.094,unknown,,data\ai_captures\ai_7df3a8aae4.jpg
ai_959170f6,ai_a2672782ac,2026-06-10T10:21:51,motion_unknown,0.096,unknown,,data\ai_captures\ai_a2672782ac.jpg
ai_3df5da58,ai_28d2c3f7df,2026-06-10T10:21:55,motion_unknown,0.185,unknown,,data\ai_captures\ai_28d2c3f7df.jpg
ai_00bf8196,ai_8bf82f1d13,2026-06-10T10:22:00,motion_unknown,0.114,unknown,,data\ai_captures\ai_8bf82f1d13.jpg
det_bac705e4,snapshot_8f470ac3,2026-06-10T10:34:59,motion_unknown,0.13160088658332825,unknown,"0,0,640,480",data\snapshots\snapshot_8f470ac3.jpg
det_dd19eb3f,snapshot_aaf8e996,2026-06-10T10:35:09,motion_animal,0.020361710339784622,animal,"322,414,102,65",data\snapshots\snapshot_aaf8e996.jpg
det_8a395787,snapshot_a87d0dab,2026-06-10T10:35:13,motion_unknown,0.2806953191757202,unknown,"205,173,158,150",data\snapshots\snapshot_a87d0dab.jpg
det_b3177ba9,snapshot_6614ba83,2026-06-10T10:35:15,motion_unknown,0.2499837577342987,unknown,"272,224,106,256",data\snapshots\snapshot_6614ba83.jpg
det_6caa822b,snapshot_c6b25a87,2026-06-10T10:35:18,motion_unknown,0.22914452850818634,unknown,"243,172,88,158",data\snapshots\snapshot_c6b25a87.jpg
det_3c39fc4a,snapshot_3e16620d,2026-06-10T10:35:20,motion_unknown,0.08818567544221878,unknown,"88,114,217,365",data\snapshots\snapshot_3e16620d.jpg
det_2ec6aeaa,snapshot_aac5aece,2026-06-10T10:35:23,motion_unknown,0.16710561513900757,unknown,"349,228,71,178",data\snapshots\snapshot_aac5aece.jpg
det_3f046935,snapshot_eb5922f2,2026-06-10T10:35:25,motion_unknown,0.048781994730234146,unknown,"379,226,68,186",data\snapshots\snapshot_eb5922f2.jpg
det_46ebfb82,snapshot_2974869a,2026-06-10T10:35:28,motion_unknown,0.10922301560640335,unknown,"436,306,62,89",data\snapshots\snapshot_2974869a.jpg
det_7de52f9a,snapshot_8efaaee6,2026-06-10T10:35:30,motion_animal,0.03058491460978985,animal,"472,404,59,76",data\snapshots\snapshot_8efaaee6.jpg
det_42d5011a,snapshot_be7d29b2,2026-06-10T10:35:32,motion_animal,0.03322162851691246,animal,"421,268,60,130",data\snapshots\snapshot_be7d29b2.jpg
det_0fa87118,snapshot_92baac9d,2026-06-10T10:35:36,motion_animal,0.03556159511208534,animal,"287,114,100,212",data\snapshots\snapshot_92baac9d.jpg
det_500a69a0,snapshot_28411653,2026-06-10T10:43:01,motion_unknown,0.05816236510872841,unknown,"227,238,192,86",data\snapshots\snapshot_28411653.jpg
det_4a897cce,snapshot_8fa70d3e,2026-06-10T10:43:06,motion_animal,0.032353226095438004,animal,"385,238,39,121",data\snapshots\snapshot_8fa70d3e.jpg
det_8a4cef6d,snapshot_18da2259,2026-06-10T10:43:13,motion_unknown,0.10981747508049011,unknown,"245,245,193,114",data\snapshots\snapshot_18da2259.jpg
det_b4dc5168,snapshot_3fef4a78,2026-06-10T10:43:17,motion_animal,0.07007487118244171,animal,"376,248,39,104",data\snapshots\snapshot_3fef4a78.jpg
det_c33a6d06,snapshot_38f1b51c,2026-06-10T10:43:21,motion_animal,0.04475640505552292,animal,"251,258,51,78",data\snapshots\snapshot_38f1b51c.jpg
det_ab040823,snapshot_9c634a3a,2026-06-10T10:43:25,motion_unknown,0.2014339715242386,unknown,"0,112,539,368",data\snapshots\snapshot_9c634a3a.jpg
det_5b38628b,snapshot_205d4ca9,2026-06-10T10:43:30,motion_unknown,0.13727127015590668,unknown,"192,84,359,396",data\snapshots\snapshot_205d4ca9.jpg
det_db1f7a04,snapshot_8a879cbb,2026-06-10T10:43:34,motion_animal,0.021507710218429565,animal,"212,228,80,98",data\snapshots\snapshot_8a879cbb.jpg
det_9b5f060f,snapshot_be55b48b,2026-06-10T10:43:39,motion_animal,0.010856381617486477,animal,"305,205,92,68",data\snapshots\snapshot_be55b48b.jpg
det_43070cff,snapshot_2980254c,2026-06-10T10:43:43,motion_unknown,0.23213061690330505,unknown,"578,286,62,153",data\snapshots\snapshot_2980254c.jpg
det_2ec9470d,snapshot_0fe24d72,2026-06-10T10:43:48,motion_unknown,0.1566425859928131,unknown,"538,344,64,80",data\snapshots\snapshot_0fe24d72.jpg
det_8b2dcdac,snapshot_a2ef2bc2,2026-06-10T10:43:55,motion_unknown,0.24671229720115662,unknown,"265,29,226,326",data\snapshots\snapshot_a2ef2bc2.jpg
det_9fa915ac,snapshot_e0a2f224,2026-06-10T10:43:59,motion_animal,0.14686250686645508,animal,"453,130,56,126",data\snapshots\snapshot_e0a2f224.jpg
det_3cf4c9de,snapshot_dcbd7722,2026-06-10T10:53:48,motion_animal,0.05694808065891266,animal,"150,192,50,126",data\snapshots\snapshot_dcbd7722.jpg
det_98b839c1,snapshot_da5ceb5e,2026-06-10T10:53:52,motion_unknown,0.06662239134311676,unknown,"196,122,343,357",data\snapshots\snapshot_da5ceb5e.jpg
det_ef6e3acb,snapshot_8818cdee,2026-06-10T10:53:57,motion_unknown,0.1049920842051506,unknown,"380,216,43,88",data\snapshots\snapshot_8818cdee.jpg
